Ejecucion,Resultado,Detalle,DatosUsados,TiempoRes
1,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba700@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,201
2,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba701@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,8
3,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba702@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,9
4,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba703@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,6
5,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba704@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,6
6,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba705@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,7
7,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba706@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,7
8,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba707@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,7
9,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba708@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,6
10,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba709@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,5
11,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba710@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,6
12,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba711@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,7
13,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba712@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,5
14,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba713@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,8
15,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba714@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,8
16,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba715@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,7
17,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba716@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,7
18,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba717@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,9
19,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba718@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,7
20,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba719@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,9
21,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba720@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,8
22,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba721@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,8
23,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba722@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,10
24,Exitosa,No se realizo el cambio de imagen de perfil,casoprueba723@software.com-PruebaTuCan-c:/Users/maria/OneDrive - Universidad Libre/2023-1/INGENIERIA DE SOFTWARE III/Pruebas automaticas/media/5b.txt,5
