Ejecucion,Resultado,Detalle,DatosUsados
1,Fallida,Creacion de usuario fallida,namePrueba10-usernamePrueba10-casoprueba10@software.com-PruebaTuCan
2,Fallida,Creacion de usuario fallida,namePrueba11-usernamePrueba11-casoprueba11@software.com-PruebaTuCan
3,Fallida,Creacion de usuario fallida,namePrueba12-usernamePrueba12-casoprueba12@software.com-PruebaTuCan
4,Fallida,Creacion de usuario fallida,namePrueba13-usernamePrueba13-casoprueba13@software.com-PruebaTuCan
5,Fallida,Creacion de usuario fallida,namePrueba14-usernamePrueba14-casoprueba14@software.com-PruebaTuCan
6,Fallida,Creacion de usuario fallida,namePrueba15-usernamePrueba15-casoprueba15@software.com-PruebaTuCan
7,Fallida,Creacion de usuario fallida,namePrueba16-usernamePrueba16-casoprueba16@software.com-PruebaTuCan
8,Fallida,Creacion de usuario fallida,namePrueba17-usernamePrueba17-casoprueba17@software.com-PruebaTuCan
9,Fallida,Creacion de usuario fallida,namePrueba18-usernamePrueba18-casoprueba18@software.com-PruebaTuCan
10,Fallida,Creacion de usuario fallida,namePrueba19-usernamePrueba19-casoprueba19@software.com-PruebaTuCan
