Ejecucion,Resultado,Detalle,DatosUsados,TiempoRes
1,Exitosa,Publicacion no realizada,casoprueba700@software.com-PruebaTuCan-nan,187
2,Exitosa,Publicacion no realizada,casoprueba701@software.com-PruebaTuCan-nan,5
3,Exitosa,Publicacion no realizada,casoprueba702@software.com-PruebaTuCan-nan,4
4,Exitosa,Publicacion no realizada,casoprueba703@software.com-PruebaTuCan-nan,7
5,Exitosa,Publicacion no realizada,casoprueba704@software.com-PruebaTuCan-nan,6
6,Exitosa,Publicacion no realizada,casoprueba705@software.com-PruebaTuCan-nan,7
7,Exitosa,Publicacion no realizada,casoprueba706@software.com-PruebaTuCan-nan,3
8,Exitosa,Publicacion no realizada,casoprueba707@software.com-PruebaTuCan-nan,4
9,Exitosa,Publicacion no realizada,casoprueba708@software.com-PruebaTuCan-nan,3
10,Exitosa,Publicacion no realizada,casoprueba709@software.com-PruebaTuCan-nan,4
11,Exitosa,Publicacion no realizada,casoprueba710@software.com-PruebaTuCan-nan,3
12,Exitosa,Publicacion no realizada,casoprueba711@software.com-PruebaTuCan-nan,3
13,Exitosa,Publicacion no realizada,casoprueba712@software.com-PruebaTuCan-nan,4
14,Exitosa,Publicacion no realizada,casoprueba713@software.com-PruebaTuCan-nan,6
15,Exitosa,Publicacion no realizada,casoprueba714@software.com-PruebaTuCan-nan,3
16,Exitosa,Publicacion no realizada,casoprueba715@software.com-PruebaTuCan-nan,4
17,Exitosa,Publicacion no realizada,casoprueba716@software.com-PruebaTuCan-nan,6
18,Exitosa,Publicacion no realizada,casoprueba717@software.com-PruebaTuCan-nan,4
19,Exitosa,Publicacion no realizada,casoprueba718@software.com-PruebaTuCan-nan,4
20,Exitosa,Publicacion no realizada,casoprueba719@software.com-PruebaTuCan-nan,4
21,Exitosa,Publicacion no realizada,casoprueba720@software.com-PruebaTuCan-nan,3
22,Exitosa,Publicacion no realizada,casoprueba721@software.com-PruebaTuCan-nan,4
23,Exitosa,Publicacion no realizada,casoprueba722@software.com-PruebaTuCan-nan,4
24,Exitosa,Publicacion no realizada,casoprueba723@software.com-PruebaTuCan-nan,5
25,Exitosa,Publicacion no realizada,casoprueba724@software.com-PruebaTuCan-nan,5
26,Exitosa,Publicacion no realizada,casoprueba725@software.com-PruebaTuCan-nan,4
27,Exitosa,Publicacion no realizada,casoprueba726@software.com-PruebaTuCan-nan,5
28,Exitosa,Publicacion no realizada,casoprueba727@software.com-PruebaTuCan-nan,4
29,Exitosa,Publicacion no realizada,casoprueba728@software.com-PruebaTuCan-nan,4
30,Exitosa,Publicacion no realizada,casoprueba729@software.com-PruebaTuCan-nan,5
31,Exitosa,Publicacion no realizada,casoprueba730@software.com-PruebaTuCan-nan,4
32,Exitosa,Publicacion no realizada,casoprueba731@software.com-PruebaTuCan-nan,6
33,Exitosa,Publicacion no realizada,casoprueba732@software.com-PruebaTuCan-nan,4
34,Exitosa,Publicacion no realizada,casoprueba733@software.com-PruebaTuCan-nan,4
35,Exitosa,Publicacion no realizada,casoprueba734@software.com-PruebaTuCan-nan,5
36,Exitosa,Publicacion no realizada,casoprueba735@software.com-PruebaTuCan-nan,4
37,Exitosa,Publicacion no realizada,casoprueba736@software.com-PruebaTuCan-nan,4
38,Exitosa,Publicacion no realizada,casoprueba737@software.com-PruebaTuCan-nan,6
39,Exitosa,Publicacion no realizada,casoprueba738@software.com-PruebaTuCan-nan,3
40,Exitosa,Publicacion no realizada,casoprueba739@software.com-PruebaTuCan-nan,6
41,Exitosa,Publicacion no realizada,casoprueba740@software.com-PruebaTuCan-nan,4
42,Exitosa,Publicacion no realizada,casoprueba741@software.com-PruebaTuCan-nan,5
43,Exitosa,Publicacion no realizada,casoprueba742@software.com-PruebaTuCan-nan,5
44,Exitosa,Publicacion no realizada,casoprueba743@software.com-PruebaTuCan-nan,4
45,Exitosa,Publicacion no realizada,casoprueba744@software.com-PruebaTuCan-nan,4
46,Exitosa,Publicacion no realizada,casoprueba745@software.com-PruebaTuCan-nan,6
47,Exitosa,Publicacion no realizada,casoprueba746@software.com-PruebaTuCan-nan,4
48,Exitosa,Publicacion no realizada,casoprueba747@software.com-PruebaTuCan-nan,5
49,Exitosa,Publicacion no realizada,casoprueba748@software.com-PruebaTuCan-nan,5
50,Exitosa,Publicacion no realizada,casoprueba749@software.com-PruebaTuCan-nan,3
51,Exitosa,Publicacion no realizada,casoprueba750@software.com-PruebaTuCan-nan,4
52,Exitosa,Publicacion no realizada,casoprueba751@software.com-PruebaTuCan-nan,3
53,Exitosa,Publicacion no realizada,casoprueba752@software.com-PruebaTuCan-nan,6
54,Exitosa,Publicacion no realizada,casoprueba753@software.com-PruebaTuCan-nan,5
