Ejecucion,Resultado,Detalle,DatosUsados
1,Exitosa,Login de usuario exitoso,casoprueba850@software.com-PruebaTuCan
2,Exitosa,Login de usuario exitoso,casoprueba851@software.com-PruebaTuCan
3,Exitosa,Login de usuario exitoso,casoprueba852@software.com-PruebaTuCan
4,Exitosa,Login de usuario exitoso,casoprueba853@software.com-PruebaTuCan
5,Exitosa,Login de usuario exitoso,casoprueba854@software.com-PruebaTuCan
6,Exitosa,Login de usuario exitoso,casoprueba855@software.com-PruebaTuCan
7,Exitosa,Login de usuario exitoso,casoprueba856@software.com-PruebaTuCan
8,Exitosa,Login de usuario exitoso,casoprueba857@software.com-PruebaTuCan
9,Exitosa,Login de usuario exitoso,casoprueba858@software.com-PruebaTuCan
10,Exitosa,Login de usuario exitoso,casoprueba859@software.com-PruebaTuCan
